epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,27,1.35e-06,3.6468,4.81441,1.6408,1,-0.00358415,0,0.011975,0.0116428,0,0.01,0.714286,17600.1,1,1,321.68,0.999878,321.641,15.9284,0.125562,380.5,3.64677
0,28,1.4e-06,2.84144,4.81441,1.6408,1,-0.00349508,0,0.0116747,0.0113341,0,0.01,0.722222,17598.7,1,1,233.917,0.999888,233.891,15.7603,0.126901,592,2.84141
0,29,1.45e-06,3.18289,4.81441,1.6408,1,-0.00342516,0,0.0114415,0.0112847,0,0.01,0.72973,17601.8,1,1,248.786,0.999858,248.751,15.3205,0.130544,477,3.18285
0,30,1.5e-06,4.22476,4.77494,1.6408,1,-0.00348933,0,0.0116547,0.0111142,0,0.01,0.736842,17602.6,1,1,378.117,0.999879,378.072,15.9719,0.12522,208.5,4.22473
0,31,1.55e-06,3.93609,3.21102,1.6408,1,-0.00362684,0,0.012114,0.0113807,0,0.01,0.74359,17603.2,1,1,428.759,0.999915,428.723,15.9886,0.125089,320.5,3.93605
0,32,1.6e-06,2.99368,1.28141,1.6408,1,-0.00332235,0,0.0110953,0.0108068,0,0.01,0.75,17602.3,1,1,267.226,0.999903,267.2,15.3312,0.130453,551.5,2.99364
0,33,1.65e-06,2.88911,2.50028,1.6408,1,-0.00363136,0,0.0121308,0.0115857,0,0.01,0.756098,17604.4,1,1,78.8224,0.999118,78.7529,15.3755,0.130077,517.5,2.88908
0,34,1.7e-06,2.0016,2.1357,1.8675,1,-0.00351276,0,0.0117343,0.0114946,0,0.01,0.761905,17599.5,1,1,174.305,0.999946,174.295,15.3875,0.129976,681.5,2.00156
0,35,1.75e-06,4.24958,4.40159,1.8675,1,-0.00377407,0,0.0126028,0.0110306,0,0.01,0.767442,17605.9,1,1,541.399,0.999943,541.368,15.199,0.131588,202,4.24954
0,36,1.8e-06,2.6311,4.40159,1.8675,1,-0.00368083,0,0.0122983,0.0117508,0,0.01,0.772727,17608,1,1,194.49,0.999916,194.474,15.3905,0.129951,552,2.63106
0,37,1.85e-06,2.12631,2.1462,1.8675,1,-0.00369022,0,0.0123285,0.0116585,0,0.01,0.777778,17606.9,1,1,335.858,0.99998,335.852,15.9568,0.125338,655,2.12627
0,38,1.9e-06,4.0221,3.99388,1.8675,1,-0.00357098,0,0.0119264,0.0110827,0,0.01,0.782609,17606.3,1,1,390.938,0.999913,390.904,16.1395,0.12392,239,4.02206
0,39,1.95e-06,1.94288,3.99388,1.8675,1,-0.00357753,0,0.0119516,0.0114309,0,0.01,0.787234,17602.4,1,1,346.486,0.999987,346.482,15.0825,0.132604,698,1.94285
0,40,2e-06,3.33697,1.83157,1.8675,1,-0.00315816,0,0.0105482,0.0103673,0,0.01,0.791667,17604.5,1,1,191.705,0.999754,191.658,15.9778,0.125174,380.5,3.33694
0,41,2.05e-06,2.64064,1.83157,3.31753,1,-0.00377288,0,0.0126031,0.0114897,0,0.01,0.795918,17605.7,1,1,270.377,0.999956,270.365,16.1085,0.124158,524.5,2.6406
0,42,2.1e-06,2.08742,2.40619,3.31753,1,-0.00369004,0,0.0123275,0.0114615,0,0.01,0.8,17605.5,1,1,350.54,0.999984,350.535,15.8686,0.126035,648.5,2.08739
0,43,2.15e-06,2.84924,1.24673,4.45175,1,-0.00307269,0,0.0102604,0.00998878,0,0.01,0.803922,17606.2,1,1,137.591,0.999634,137.54,15.2482,0.131163,524,2.84921
0,44,2.2e-06,2.79571,3.72743,1.864,1,-0.00360439,0,0.0120397,0.0110993,0,0.01,0.807692,17603.1,1,1,245.64,0.999948,245.627,15.6422,0.127859,480.5,2.79568
0,45,2.25e-06,3.44847,2.46237,1.864,1,-0.00332877,0,0.011118,0.0102898,0,0.01,0.811321,17603.1,1,1,208.781,0.999755,208.73,15.5722,0.128434,293,3.44844
0,46,2.3e-06,2.62774,2.46237,1.864,1,-0.00344506,0,0.0115073,0.0110149,0,0.01,0.814815,17605,1,1,288.9,0.999967,288.891,16.0303,0.124764,545,2.62771
0,47,2.35e-06,2.5432,1.98946,3.09694,1,-0.00366473,0,0.0122441,0.0114127,0,0.01,0.818182,17603,1,1,273.086,0.999964,273.076,15.8389,0.126271,545,2.54316
0,48,2.4e-06,3.75566,4.30561,3.09694,1,-0.00335377,0,0.0112,0.0101529,0,0.01,0.821429,17606.5,1,1,129.124,0.999362,129.042,16.0919,0.124286,232.5,3.75562
0,49,2.45e-06,1.5428,4.30561,3.09694,1,-0.00342805,0,0.0114489,0.0107996,0,0.01,0.824561,17606.3,1,1,365.175,0.999992,365.172,15.9103,0.125705,806.5,1.54277
0,50,2.5e-06,2.10295,4.30561,3.09694,1,-0.00309684,0,0.0103487,0.0112865,0,0.01,0.827586,17600.9,1,1,333.491,0.999983,333.485,15.935,0.12551,649,2.10292
0,51,2.55e-06,2.1704,2.22579,3.09694,1,-0.0037195,0,0.0124226,0.011042,0,0.01,0.830508,17605.2,1,1,258.615,0.999976,258.609,15.9297,0.125552,612.5,2.17036
0,52,2.6e-06,2.6892,2.22579,3.09694,1,-0.00330639,0,0.0110404,0.010126,0,0.01,0.833333,17603,1,1,36.1298,0.997202,36.0287,15.6812,0.127541,448,2.68916
0,53,2.65e-06,1.56139,2.22579,3.09694,1,-0.00323857,0,0.010815,0.0103801,0,0.01,0.836066,17605.5,1,1,199.349,0.999987,199.346,14.7874,0.13525,834.5,1.56136
0,54,2.7e-06,1.94048,2.22579,3.09694,1,-0.0033536,0,0.0111995,0.0104895,0,0.01,0.83871,17602.7,1,1,182.927,0.999973,182.922,14.9052,0.134181,734.5,1.94044
0,55,2.75e-06,3.57929,3.51808,3.09694,1,-0.00361402,0,0.0120682,0.0105922,0,0.01,0.84127,17601.5,1,1,379.8,0.999948,379.78,15.027,0.133093,232,3.57925
0,56,2.8e-06,2.83423,3.37576,2.2927,1,-0.00358617,0,0.011975,0.010551,0,0.01,0.84375,17604.2,1,1,191.269,0.999904,191.251,15.0664,0.132746,429,2.8342
0,57,2.85e-06,2.78996,1.87817,2.2927,1,-0.0032551,0,0.0108703,0.0102255,0,0.01,0.846154,17600.7,1,1,91.7893,0.999569,91.7497,15.1179,0.132294,420.5,2.78993
