epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,27,1.35e-06,3.93584,5.23022,1.84781,1,-0.00349202,0,0.0116762,0.0118818,0,0.01,0.714286,13320.4,1,1,5.02459,0.035952,0.180644,14.0515,0.142334,380.5,3.9358
0,28,1.4e-06,3.15291,5.23022,1.84781,1,-0.00353587,0,0.0118213,0.0118357,0,0.01,0.722222,13320.4,1,1,3.79356,0.0446531,0.169394,13.921,0.143668,592,3.15287
0,29,1.45e-06,3.75945,5.23022,1.84781,1,-0.00355403,0,0.0118822,0.011826,0,0.01,0.72973,13320.4,1,1,4.65023,0.0387282,0.180095,14.0162,0.142692,477,3.75941
0,30,1.5e-06,5.06287,5.66437,1.84781,1,-0.00340667,0,0.0113887,0.011611,0,0.01,0.736842,13320.4,1,1,6.38876,0.0310903,0.198629,13.9319,0.143555,208.5,5.06284
0,31,1.55e-06,4.39314,3.48699,1.84781,1,-0.00355642,0,0.011891,0.0119071,0,0.01,0.74359,13320.4,1,1,5.72839,0.0343935,0.197019,14.0664,0.142183,320.5,4.39311
0,32,1.6e-06,3.36597,1.52842,1.84781,1,-0.00338127,0,0.0113024,0.0113956,0,0.01,0.75,13320.4,1,1,3.88924,0.0403286,0.156848,13.867,0.144227,551.5,3.36594
0,33,1.65e-06,3.49483,3.08138,1.84781,1,-0.00351759,0,0.0117637,0.0121378,0,0.01,0.756098,13320.4,1,1,4.6708,0.0415107,0.193888,14.2548,0.140303,517.5,3.49479
0,34,1.7e-06,2.53926,2.71342,2.3651,1,-0.00362717,0,0.0121295,0.0120763,0,0.01,0.761905,13320.4,1,1,3.09306,0.0521634,0.161344,14.0146,0.142708,681.5,2.53923
0,35,1.75e-06,5.147,5.41433,2.3651,1,-0.00351525,0,0.0117507,0.0116211,0,0.01,0.767442,13320.4,1,1,6.51478,0.032018,0.20859,13.8551,0.144351,202,5.14697
0,36,1.8e-06,3.19308,5.41433,2.3651,1,-0.0036483,0,0.0122004,0.0122133,0,0.01,0.772727,13320.4,1,1,4.12912,0.0441061,0.182119,14.0964,0.14188,552,3.19304
0,37,1.85e-06,2.62845,2.71469,2.3651,1,-0.00367924,0,0.0123031,0.0121693,0,0.01,0.777778,13320.4,1,1,3.3431,0.0495719,0.165724,14.0544,0.142305,655,2.62842
0,38,1.9e-06,4.99877,4.9913,2.3651,1,-0.00345779,0,0.0115598,0.0116762,0,0.01,0.782609,13320.4,1,1,6.68357,0.0319675,0.213657,13.7927,0.145005,239,4.99874
0,39,1.95e-06,2.40643,4.9913,2.3651,1,-0.00363613,0,0.0121588,0.0120828,0,0.01,0.787234,13320.4,1,1,2.88703,0.054028,0.155981,14.1526,0.141317,698,2.40639
