nfe,n_patients,gen_sec_mean,gen_sec_std,decode_sec_mean,decode_sec_std,total_sec_mean
1,37,0.0628991,0.078978,1.12488,0.0424203,1.18778
2,37,0.0962781,0.0080014,1.1014,0.0915963,1.19768
5,37,0.225498,0.00971959,1.13121,0.0352858,1.35671
10,37,0.44064,0.0105926,1.12898,0.0360499,1.56962
20,37,0.876513,0.0245844,1.12967,0.0375898,2.00619
