epoch,step,n_steps,cfm_mean,cfm_std,contrastive_mean,contrastive_std,reconstruction_mean,reconstruction_std,total_mean,total_std,samples_per_sec_mean,samples_per_sec_std,grad_norm_cn_preclip_mean,grad_norm_cn_preclip_std,grad_norm_cn_postclip_mean,grad_norm_cn_postclip_std,grad_norm_trunk_preclip_mean,grad_norm_trunk_preclip_std,grad_norm_trunk_postclip_mean,grad_norm_trunk_postclip_std,t_mean_mean,t_mean_std,gpu_mem_peak_mb_mean,gpu_mem_peak_mb_std
0,850,850,1.86714,0.520797,-0.00906805,0.00807484,,,1.86705,0.520832,16.1848,0.630981,86.0229,88.4427,1,8.30906e-08,86.0111,88.4397,0.999667,0.000780716,499.883,204.636,17603.4,100.227
1,1700,850,1.47438,0.203492,-0.037256,0.0112141,,,1.47401,0.203495,16.3558,0.155821,22.1171,22.9772,0.999955,0.00130956,22.1005,22.9759,0.998276,0.003595,487.621,202.708,17607,0.000267967
2,2550,850,1.42688,0.206884,-0.0472882,0.0139161,,,1.4264,0.206862,16.3677,0.364873,9.31754,7.55244,0.999139,0.013718,9.2997,7.55135,0.995184,0.0167876,499.573,208.487,17607,0.000267967
3,3400,850,1.42888,0.207148,-0.0554772,0.0176074,,,1.42832,0.207097,16.3693,0.167335,7.27166,6.30392,0.998109,0.0182389,7.25428,6.30395,0.993003,0.0220854,494.86,202.635,17607,0.000267967
