epoch,step,lr,cfm,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,38,1.9e-06,3.97437,-0.00368001,0,0.0122904,0.0111358,0,0.782609,17606.3,1,1,416.39,0.999931,416.362,5.65775,0.353498,239,3.97433
0,39,1.95e-06,1.97587,-0.00358013,0,0.0119604,0.0114921,0,0.787234,17602.3,1,1,377.556,0.999988,377.551,15.8866,0.125893,698,1.97583
0,40,2e-06,3.30282,-0.00319502,0,0.0106712,0.0103589,0,0.791667,17604.5,1,1,197.984,0.999796,197.944,16.3759,0.122131,380.5,3.30278
0,41,2.05e-06,2.6076,-0.00368741,0,0.0123195,0.0115581,0,0.795918,17605.7,1,1,270.417,0.999961,270.407,15.9733,0.125209,524.5,2.60756
0,42,2.1e-06,2.12699,-0.00364191,0,0.0121693,0.0116874,0,0.8,17605.5,1,1,332.496,0.999983,332.491,16.184,0.123579,648.5,2.12695
0,43,2.15e-06,2.86536,-0.00300914,0,0.0100485,0.010004,0,0.803922,17606.2,1,1,135.015,0.999657,134.969,16.0832,0.124354,524,2.86533
0,44,2.2e-06,2.85632,-0.00366854,0,0.0122537,0.0111589,0,0.807692,17603.1,1,1,272.272,0.999959,272.261,16.3554,0.122284,480.5,2.85628
0,45,2.25e-06,3.4762,-0.00316027,0,0.0105566,0.0102435,0,0.811321,17603.1,1,1,234.682,0.999834,234.643,16.1335,0.123965,293,3.47616
0,46,2.3e-06,2.63887,-0.00372147,0,0.0124291,0.0110868,0,0.814815,17604.9,1,1,283.104,0.999969,283.095,16.3352,0.122435,545,2.63883
0,47,2.35e-06,2.52743,-0.00377428,0,0.0126107,0.0115961,0,0.818182,17602.9,1,1,291.079,0.999972,291.07,16.4077,0.121894,545,2.52739
0,48,2.4e-06,3.78187,-0.00339255,0,0.01133,0.0102701,0,0.821429,17606.5,1,1,140.171,0.999507,140.102,16.4108,0.121871,232.5,3.78183
0,49,2.45e-06,1.57656,-0.00334216,0,0.0111639,0.0109354,0,0.824561,17606.3,1,1,397.368,0.999992,397.365,16.4329,0.121707,806.5,1.57653
0,50,2.5e-06,2.11716,-0.00352725,0,0.0117831,0.0112179,0,0.827586,17600.9,1,1,344.504,0.999986,344.499,16.3767,0.122125,649,2.11712
0,51,2.55e-06,2.20684,-0.00352294,0,0.0117686,0.0111894,0,0.830508,17605.2,1,1,313.791,0.999981,313.786,16.3521,0.122308,612.5,2.20681
