epoch,step,lr,cfm,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,44,2.2e-06,2.85698,0.807692,11460.9,1,1,273.291,0.999959,273.28,30.3528,0.0658917,480.5,2.85698
0,45,2.25e-06,3.47688,0.811321,11463,1,1,235.118,0.999834,235.079,30.2801,0.0660499,293,3.47688
0,46,2.3e-06,2.6392,0.814815,11462.4,1,1,284.393,0.999969,284.384,30.2454,0.0661257,545,2.6392
0,47,2.35e-06,2.52818,0.818182,11465,1,1,294.428,0.999972,294.42,30.5981,0.0653634,545,2.52818
0,48,2.4e-06,3.78258,0.821429,11460.1,1,1,139.345,0.999501,139.275,30.5941,0.0653721,232.5,3.78258
0,49,2.45e-06,1.57678,0.824561,11464.7,1,1,399.528,0.999992,399.525,28.9315,0.0691287,806.5,1.57678
0,50,2.5e-06,2.11753,0.827586,11464.8,1,1,346.53,0.999986,346.525,29.645,0.0674649,649,2.11753
0,51,2.55e-06,2.20725,0.830508,11462.4,1,1,315.725,0.999981,315.719,29.7135,0.0673094,612.5,2.20725
0,52,2.6e-06,2.70956,0.833333,11458.3,1,1,60.3298,0.99897,60.2677,30.3797,0.0658334,448,2.70956
0,53,2.65e-06,1.54599,0.836066,11462,1,1,219.003,0.999988,219.001,30.2602,0.0660934,834.5,1.54599
0,54,2.7e-06,1.99275,0.83871,11462.4,1,1,180.898,0.999972,180.893,30.4506,0.0656802,734.5,1.99275
0,55,2.75e-06,3.62601,0.84127,11462.7,1,1,370.017,0.999946,369.997,30.2215,0.0661779,232,3.62601
0,56,2.8e-06,2.85594,0.84375,11459.6,1,1,187.224,0.999902,187.206,30.4373,0.0657089,429,2.85594
0,57,2.85e-06,2.77449,0.846154,11461.3,1,1,79.8819,0.999515,79.8431,30.2284,0.066163,420.5,2.77449
0,58,2.9e-06,2.91663,0.848485,11462.2,1,1,188.989,0.999891,188.968,29.6709,0.0674062,406,2.91663
0,59,2.95e-06,3.17828,0.850746,11463.3,1,1,217.953,0.999863,217.923,29.0171,0.0689249,338.5,3.17828
0,60,3e-06,2.7186,0.852941,11465.6,1,1,192.84,0.99992,192.825,30.8132,0.0649072,426.5,2.7186
0,61,3.05e-06,2.21136,0.855072,11460.2,1,1,123.247,0.999925,123.238,29.6734,0.0674004,595,2.21136
0,62,3.1e-06,2.96381,0.857143,11457.9,1,1,130.753,0.999763,130.722,30.4906,0.0655941,375.5,2.96381
0,63,3.15e-06,2.82693,0.859155,11462,1,1,118.749,0.999766,118.721,30.0198,0.0666227,435,2.82693
0,64,3.2e-06,1.81765,0.861111,11463.2,1,1,266.237,0.999986,266.233,30.4219,0.0657421,724,1.81765
0,65,3.25e-06,3.09322,0.863014,11460.2,1,1,92.5962,0.999594,92.5586,30.1743,0.0662817,320,3.09322
0,66,3.3e-06,1.83677,0.864865,11463,1,1,18.9249,0.998698,18.9003,29.9536,0.0667699,678,1.83677
0,67,3.35e-06,2.41792,0.866667,11457.9,1,1,105.582,0.999869,105.568,29.6595,0.067432,529,2.41792
0,68,3.4e-06,1.97296,0.868421,11459,1,1,138.216,0.999963,138.211,30.0687,0.0665144,665,1.97296
0,69,3.45e-06,2.48317,0.87013,11459.4,1,1,183.352,0.999941,183.341,30.4172,0.0657522,471,2.48317
0,70,3.5e-06,2.37727,0.871795,11463.6,1,1,85.141,0.999749,85.1196,29.0953,0.0687396,536,2.37727
0,71,3.55e-06,2.26948,0.873418,11462.5,1,1,152.882,0.999902,152.867,30.3027,0.0660008,554.5,2.26948
0,72,3.6e-06,3.82523,0.875,11466.5,1,1,339.163,0.999928,339.139,29.4925,0.0678139,103,3.82523
0,73,3.65e-06,2.55818,0.876543,11463.4,1,1,147.5,0.9999,147.485,28.8177,0.0694018,484.5,2.55818
0,74,3.7e-06,1.92514,0.878049,11460.3,1,1,20.6351,0.998943,20.6133,29.3008,0.0682576,681,1.92514
0,75,3.75e-06,2.03109,0.879518,11462.1,1,1,81.553,0.999856,81.5412,29.4691,0.0678676,623,2.03109
0,76,3.8e-06,1.77022,0.880952,11461,1,1,21.9771,0.999367,21.9632,29.136,0.0686435,727,1.77022
0,77,3.85e-06,2.68182,0.882353,11463.6,1,1,43.7896,0.999038,43.7475,29.8918,0.0669081,422.5,2.68182
0,78,3.9e-06,2.04132,0.883721,11462.1,1,1,102.693,0.999898,102.682,29.7622,0.0671992,637.5,2.04132
0,79,3.95e-06,1.96237,0.885057,11462.5,1,1,68.5278,0.99988,68.5195,29.9341,0.0668133,650,1.96237
0,80,4e-06,2.72947,0.886364,11464.2,1,1,153.165,0.999872,153.145,29.745,0.0672381,391,2.72947
0,81,4.05e-06,1.99652,0.88764,11464.9,1,1,64.9592,0.999886,64.9518,29.6681,0.0674124,643.5,1.99652
0,82,4.1e-06,2.17033,0.888889,11462.7,1,1,135.867,0.999898,135.853,28.7772,0.0694994,574,2.17033
0,83,4.15e-06,3.05093,0.89011,11464.9,1,1,244.429,0.999901,244.405,30.3166,0.0659705,255,3.05093
0,84,4.2e-06,2.72979,0.891304,11463.2,1,1,30.4445,0.997235,30.3604,29.5101,0.0677735,370.5,2.72979
0,85,4.25e-06,3.01804,0.892473,11463,1,1,173.967,0.999855,173.941,30.3632,0.0658692,274.5,3.01804
0,86,4.3e-06,2.34915,0.893617,11461.1,1,1,175.277,0.999961,175.27,29.7866,0.0671443,473,2.34915
0,87,4.35e-06,2.04322,0.894737,11460.9,1,1,131.693,0.999964,131.688,30.3353,0.0659298,597,2.04322
0,88,4.4e-06,2.03361,0.895833,11463.5,1,1,126.78,0.999954,126.774,30.7561,0.0650277,615.5,2.03361
0,89,4.45e-06,2.48706,0.896907,11462.3,1,1,162.184,0.999942,162.175,30.1973,0.0662311,466,2.48706
0,90,4.5e-06,1.5105,0.897959,11464.1,1,1,58.8764,0.999959,58.874,29.6261,0.0675081,794,1.5105
0,91,4.55e-06,2.56657,0.89899,11460.9,1,1,164.295,0.999941,164.285,29.4213,0.0679779,402,2.56657
0,92,4.6e-06,2.23013,0.9,11460.3,1,1,87.5992,0.999892,87.5897,29.7916,0.0671331,541,2.23013
0,93,4.65e-06,2.37819,0.90099,11461.5,1,1,58.7339,0.999674,58.7148,29.0811,0.0687732,467.5,2.37819
0,94,4.7e-06,1.7638,0.901961,11462.5,1,1,37.5819,0.999852,37.5763,30.476,0.0656255,709.5,1.7638
0,95,4.75e-06,2.10197,0.902913,11463.9,1,1,40.8323,0.999645,40.8178,28.6844,0.0697243,567.5,2.10197
0,96,4.8e-06,2.5572,0.903846,11464.7,1,1,138.411,0.999899,138.397,30.5515,0.0654632,402,2.5572
0,97,4.85e-06,2.28251,0.904762,11460.5,1,1,42.359,0.999487,42.3373,29.0324,0.0688886,508.5,2.28251
0,98,4.9e-06,2.3255,0.90566,11462.5,1,1,161.285,0.999936,161.275,30.459,0.0656621,501.5,2.3255
0,99,4.95e-06,2.7805,0.906542,11465.1,1,1,176.765,0.999892,176.746,29.9188,0.0668476,267.5,2.7805
0,100,5e-06,2.37382,0.907407,11465.6,1,1,196.936,0.999942,196.924,30.1181,0.0664052,488.5,2.37382
0,101,5.05e-06,2.07505,0.908257,11460.5,1,1,94.4158,0.999924,94.4087,29.4994,0.067798,529,2.07505
0,102,5.1e-06,2.32317,0.909091,11463.5,1,1,184.298,0.999946,184.289,29.4526,0.0679056,489,2.32317
0,103,5.15e-06,2.89485,0.90991,11465,1,1,103.553,0.999731,103.526,29.7003,0.0673395,235.5,2.89485
0,104,5.2e-06,1.69873,0.910714,11462.9,1,1,64.2792,0.999955,64.2763,29.5616,0.0676553,712.5,1.69873
0,105,5.25e-06,1.78952,0.911504,11464.6,1,1,69.3281,0.999959,69.3252,29.7042,0.0673306,714,1.78952
0,106,5.3e-06,2.02797,0.912281,11462.7,1,1,69.8995,0.999903,69.8926,29.8641,0.0669701,602,2.02797
0,107,5.35e-06,2.81274,0.913043,11465.5,1,1,18.2987,0.993226,18.1747,30.099,0.0664475,265.5,2.81274
0,108,5.4e-06,2.27134,0.913793,11464.3,1,1,107.451,0.999928,107.444,30.0072,0.0666506,474.5,2.27134
0,109,5.45e-06,1.81572,0.91453,11464,1,1,65.3224,0.999938,65.3183,29.6866,0.0673705,700.5,1.81572
0,110,5.5e-06,2.65935,0.915254,11463.5,1,1,75.5287,0.999686,75.505,29.053,0.0688396,307.5,2.65935
0,111,5.55e-06,2.20147,0.915966,11460.8,1,1,79.4175,0.999888,79.4087,30.0727,0.0665055,499.5,2.20147
0,112,5.6e-06,1.30163,0.916667,11460.4,1,1,30.0134,0.999855,30.009,29.9627,0.0667496,929,1.30163
0,113,5.65e-06,1.65341,0.917355,11461.3,1,1,13.8024,0.999581,13.7967,29.46,0.0678887,754,1.65341
0,114,5.7e-06,2.61504,0.918033,11466,1,1,68.794,0.999601,68.7666,30.1708,0.0662893,275.5,2.61504
0,115,5.75e-06,2.08096,0.918699,11463.3,1,1,82.1097,0.999939,82.1047,29.5666,0.0676439,546.5,2.08096
0,116,5.8e-06,1.39961,0.919355,11461.6,1,1,16.1162,0.999663,16.1107,29.6343,0.0674893,893,1.39961
0,117,5.85e-06,1.71146,0.92,11462.4,1,1,31.9372,0.999879,31.9333,30.2267,0.0661666,687.5,1.71146
0,118,5.9e-06,1.77956,0.920635,11463.8,1,1,32.5692,0.999894,32.5657,29.6897,0.0673635,676.5,1.77956
0,119,5.95e-06,2.21639,0.92126,11462.6,1,1,111.949,0.999907,111.938,30.488,0.0655995,431,2.21639
0,120,6e-06,2.98775,0.921875,11463,1,1,321.468,0.999944,321.45,30.116,0.0664098,144,2.98775
0,121,6.05e-06,2.08534,0.922481,11457.7,1,1,108.502,0.999924,108.494,30.1582,0.0663169,493.5,2.08534
0,122,6.1e-06,1.55407,0.923077,11462.5,1,1,15.2866,0.999783,15.2833,30.8323,0.064867,772.5,1.55407
0,123,6.15e-06,2.05153,0.923664,11460.2,1,1,35.561,0.999723,35.5511,26.9046,0.0743367,531.5,2.05153
0,124,6.2e-06,1.55675,0.924242,11464.1,1,1,9.59607,0.999569,9.59194,30.2049,0.0662144,764.5,1.55675
0,125,6.25e-06,2.07071,0.924812,11464.8,1,1,22.6387,0.99938,22.6246,30.4577,0.0656649,550,2.07071
0,126,6.3e-06,1.45136,0.925373,11464.8,1,1,14.9083,0.999709,14.904,30.4787,0.0656197,852,1.45136
0,127,6.35e-06,2.71225,0.925926,11463.4,1,1,132.091,0.999876,132.075,29.6603,0.0674302,274.5,2.71225
0,128,6.4e-06,1.94537,0.926471,11461.1,1,1,16.0035,0.999101,15.9892,30.0222,0.0666174,638,1.94537
0,129,6.45e-06,1.91626,0.927007,11464.6,1,1,22.741,0.999616,22.7322,30.1527,0.066329,641.5,1.91626
0,130,6.5e-06,2.00812,0.927536,11462.5,1,1,66.076,0.999944,66.0723,30.1735,0.0662833,577,2.00812
0,131,6.55e-06,1.38632,0.928058,11462.6,1,1,17.2913,0.999783,17.2876,30.448,0.0656859,855,1.38632
0,132,6.6e-06,2.41549,0.928571,11463.5,1,1,108.88,0.999875,108.866,30.0972,0.0664513,340,2.41549
0,133,6.65e-06,2.04387,0.929078,11458.6,1,1,194.712,0.999961,194.705,29.8341,0.0670373,561,2.04387
0,134,6.7e-06,2.46288,0.929577,11463.2,1,1,97.7582,0.999892,97.7476,30.3684,0.0658578,369.5,2.46288
0,135,6.75e-06,2.61813,0.93007,11462,1,1,60.955,0.999538,60.9268,30.1358,0.0663662,291,2.61813
0,136,6.8e-06,2.6526,0.930556,11463.9,1,1,335.477,0.99995,335.461,29.64,0.0674765,299,2.6526
0,137,6.85e-06,1.99599,0.931035,11464.3,1,1,10.3107,0.997644,10.2864,29.9592,0.0667575,543,1.99599
0,138,6.9e-06,2.62344,0.931507,11462,1,1,115.134,0.9999,115.123,30.2017,0.0662215,266.5,2.62344
0,139,6.95e-06,2.29983,0.931973,11460.6,1,1,113.491,0.999943,113.484,30.0492,0.0665576,371,2.29983
0,140,7e-06,1.56514,0.932432,11461.7,1,1,29.0778,0.99994,29.076,27.7518,0.0720675,764,1.56514
0,141,7.05e-06,1.73613,0.932886,11464.8,1,1,62.3304,0.999973,62.3287,29.214,0.0684603,687,1.73613
0,142,7.1e-06,2.98639,0.933333,11462.3,1,1,324.415,0.999936,324.394,30.2693,0.0660736,105,2.98639
0,143,7.15e-06,2.95439,0.933775,11464.8,1,1,300.252,0.999927,300.23,30.6297,0.0652961,102.5,2.95439
0,144,7.2e-06,2.40199,0.934211,11461.7,1,1,130.706,0.999913,130.694,29.4538,0.0679029,327.5,2.40199
0,145,7.25e-06,1.42188,0.934641,11456,1,1,22.8532,0.999886,22.8506,29.0023,0.0689601,822,1.42188
0,146,7.3e-06,2.00973,0.935065,11460.8,1,1,19.799,0.999339,19.7859,29.8274,0.0670523,526,2.00973
0,147,7.35e-06,2.16289,0.935484,11462.8,1,1,80.8567,0.999929,80.8509,30.05,0.0665558,478,2.16289
0,148,7.4e-06,2.12404,0.935897,11460.9,1,1,68.4238,0.999916,68.4181,29.2875,0.0682885,490,2.12404
0,149,7.45e-06,2.64491,0.936306,11461.1,1,1,44.2198,0.999231,44.1858,29.8454,0.067012,198,2.64491
0,150,7.5e-06,2.47289,0.936709,11462.5,1,1,161.972,0.999925,161.96,29.8804,0.0669335,298.5,2.47289
0,151,7.55e-06,1.9018,0.937107,11464,1,1,41.887,0.999918,41.8836,29.7775,0.0671647,565.5,1.9018
0,152,7.6e-06,2.07209,0.9375,11462.4,1,1,61.6016,0.999932,61.5975,29.95,0.0667779,498,2.07209
0,153,7.65e-06,1.91871,0.937888,11463.4,1,1,48.6481,0.99994,48.6452,29.5372,0.0677112,549,1.91871
0,154,7.7e-06,1.88455,0.938272,11461.9,1,1,23.6987,0.999837,23.6949,29.8011,0.0671116,623,1.88455
0,155,7.75e-06,1.8431,0.93865,11460.9,1,1,14.7296,0.999682,14.7249,29.7651,0.0671929,606.5,1.8431
0,156,7.8e-06,1.47633,0.939024,11461.9,1,1,8.03057,0.999354,8.02539,30.3592,0.0658779,797,1.47633
0,157,7.85e-06,1.46957,0.939394,11461.5,1,1,12.0425,0.999604,12.0377,30.4503,0.0656809,815.5,1.46957
0,158,7.9e-06,1.95792,0.939759,11463,1,1,134.615,0.999967,134.611,30.2618,0.06609,538,1.95792
0,159,7.95e-06,1.89338,0.94012,11463.9,1,1,99.2494,0.99996,99.2454,30.0469,0.0665626,621,1.89338
0,160,8e-06,2.11232,0.940476,11462.9,1,1,263.057,0.999964,263.048,29.1374,0.0686404,553,2.11232
0,161,8.05e-06,2.77346,0.940828,11461.2,1,1,358.323,0.999956,358.307,29.5738,0.0676275,211.5,2.77346
0,162,8.1e-06,1.31972,0.941176,11460.1,1,1,11.671,0.999497,11.6652,29.2871,0.0682895,860,1.31972
0,163,8.15e-06,2.15785,0.94152,11462.8,1,1,118.896,0.999938,118.888,30.1486,0.0663381,412.5,2.15785
0,164,8.2e-06,2.35154,0.94186,11461.9,1,1,43.3101,0.999662,43.2955,29.7333,0.0672647,353.5,2.35154
0,165,8.25e-06,1.99809,0.942197,11463.8,1,1,54.8371,0.999879,54.8304,29.9001,0.0668893,480,1.99809
0,166,8.3e-06,1.66669,0.942529,11464.1,1,1,32.591,0.999956,32.5896,29.8332,0.0670394,695.5,1.66669
0,167,8.35e-06,2.38494,0.942857,11463.4,1,1,121.546,0.999893,121.533,30.5339,0.065501,340,2.38494
0,168,8.4e-06,2.06727,0.943182,11469.1,1,1,89.0051,0.999953,89.0008,30.3763,0.0658408,494.5,2.06727
0,169,8.45e-06,2.36026,0.943503,11469.2,1,1,215.492,0.999968,215.486,30.4286,0.0657276,318,2.36026
0,170,8.5e-06,2.06717,0.94382,11462.6,1,1,89.0454,0.999947,89.0407,27.9475,0.0715629,472.5,2.06717
0,171,8.55e-06,2.11901,0.944134,11460.2,1,1,116.963,0.999959,116.959,30.155,0.066324,416,2.11901
0,172,8.6e-06,1.93834,0.944444,11467.7,1,1,115.694,0.999973,115.691,29.9012,0.0668869,588,1.93834
0,173,8.65e-06,2.41504,0.944751,11466.7,1,1,46.1783,0.999528,46.1565,29.7144,0.0673074,286,2.41504
0,174,8.7e-06,1.48347,0.945055,11466.3,1,1,7.63586,0.999188,7.62966,29.6572,0.0674373,806.5,1.48347
0,175,8.75e-06,2.98475,0.945355,11461.5,1,1,255.918,0.999911,255.896,28.4006,0.0704211,29.5,2.98475
0,176,8.8e-06,1.80749,0.945652,11465.4,1,1,80.5683,0.999973,80.5662,30.6041,0.0653507,611.5,1.80749
0,177,8.85e-06,2.37769,0.945946,11466.7,1,1,34.9815,0.99939,34.9601,30.013,0.0666377,329,2.37769
0,178,8.9e-06,1.93539,0.946237,11463,1,1,92.3479,0.999926,92.3411,30.5077,0.0655572,522.5,1.93539
0,179,8.95e-06,2.44524,0.946524,11462.2,1,1,154.213,0.999957,154.207,29.7545,0.0672168,270.5,2.44524
0,180,9e-06,2.67044,0.946809,11463,1,1,92.9474,0.999754,92.9245,30.0304,0.0665991,111,2.67044
0,181,9.05e-06,1.75949,0.94709,11463,1,1,70.2997,0.999971,70.2977,29.9227,0.0668388,664.5,1.75949
0,182,9.1e-06,1.8654,0.947368,11467.6,1,1,102.844,0.999976,102.841,30.0054,0.0666548,584.5,1.8654
0,183,9.15e-06,2.50613,0.947644,11467.1,1,1,46.1605,0.999529,46.1387,29.7094,0.0673187,224.5,2.50613
0,184,9.2e-06,2.24339,0.947917,11468.3,1,1,134.164,0.999969,134.16,29.7932,0.0671293,394.5,2.24339
0,185,9.25e-06,1.89333,0.948187,11464,1,1,87.208,0.999972,87.2056,29.7511,0.0672243,563.5,1.89333
0,186,9.3e-06,1.87117,0.948454,11464.5,1,1,41.785,0.999945,41.7827,28.1205,0.0711226,589.5,1.87117
0,187,9.35e-06,1.98616,0.948718,11464.7,1,1,66.6719,0.999919,66.6665,30.06,0.0665336,476.5,1.98616
0,188,9.4e-06,2.35017,0.94898,11464.3,1,1,291.446,0.999956,291.434,29.164,0.0685778,335.5,2.35017
0,189,9.45e-06,2.2207,0.949239,11461.7,1,1,239.946,0.999964,239.938,30.3609,0.0658743,355,2.2207
